"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000154134.15",397.578931133435,3.3065683005587,0.248285164375286,1.45854384386783e-41,3.11238670842956e-37
"ENSG00000123500.10",2476.04090221779,-6.97594717487986,0.529977572832104,6.78677698283517e-41,7.24115170183599e-37
"ENSG00000182463.16",2361.06183128063,3.22832291085671,0.267512558225974,1.61227658136644e-34,1.14681233232595e-30
"ENSG00000184500.16",2508.72762674924,2.54885467044225,0.216801801125282,6.82335271154627e-33,3.64008808779215e-29
"ENSG00000151789.12",504.107892963614,2.77969272061858,0.238583395136568,2.18852024092074e-32,9.34016668420153e-29
"ENSG00000154065.17",807.494913648759,3.30800266752957,0.296529726412857,5.46247864411155e-30,1.94273052977827e-26
"ENSG00000137960.6",321.705650974178,3.42751185529108,0.307776845363595,6.57327145352204e-30,2.00381485066724e-26
"ENSG00000241684.6",162.617180910586,4.18940113177297,0.377075490325125,9.44406338250698e-30,2.51908585649146e-26
"ENSG00000087586.18",1527.41428662422,-4.46413801389027,0.421456879045723,2.00493404546969e-27,4.75369862180864e-24
"ENSG00000146374.14",749.882456801126,3.46776757694316,0.333035626009098,1.60558915849846e-26,3.42616670531987e-23
"ENSG00000094963.14",4952.1513163672,4.43475084615279,0.437266367668281,2.16212676661782e-25,4.19432937025978e-22
"ENSG00000130032.17",202.843378074262,4.53340047195947,0.456217250243338,1.60986356740578e-24,2.86273988873932e-21
"ENSG00000180660.8",277.334436802512,4.14582341775895,0.418202078305689,2.57585749753863e-24,4.22817101076745e-21
"ENSG00000060718.22",3534.48429135063,-5.36101979899339,0.561389297353277,7.06094676351308e-23,1.07623959276147e-19
"ENSG00000145777.15",117.000669685657,4.35643739767444,0.455354369461109,1.10712550081674e-22,1.57499673746189e-19
"ENSG00000134121.10",1699.65059109775,4.33245141581614,0.456803552719494,1.58665935089231e-22,2.11610774304318e-19
"ENSG00000276409.5",111.132098882589,5.05888175768702,0.535025166263415,3.36099068781674e-22,4.21883413454832e-19
"ENSG00000168079.17",3728.32576134952,6.77113772991836,0.72534630801775,5.52287972814141e-22,6.54737391771164e-19
"ENSG00000198932.13",890.194646296819,3.05091641831744,0.328954566462827,1.42827478496039e-21,1.60410292822472e-18
"ENSG00000163239.12",95.5945297095028,3.20209959886055,0.347275341324997,2.40739764206963e-21,2.56857291420619e-18
"ENSG00000149451.18",852.697352648535,3.84497007063132,0.421616342413931,4.88110378112183e-21,4.95989874215994e-18
"ENSG00000165197.5",761.501232456298,5.05591241204354,0.556696452232477,7.20485458837353e-21,6.98838145733194e-18
"ENSG00000126785.13",1234.71074170744,1.98374183695277,0.217262360351428,9.9101090590246e-21,9.19442683524026e-18
"ENSG00000149212.12",3573.53382080998,2.01678214422781,0.223757522319783,2.64390340815338e-20,2.35076061777438e-17
"ENSG00000153822.14",93.6468410285128,5.66619688668495,0.632797791479312,3.21678001070972e-20,2.74571474594138e-17
"ENSG00000189056.14",689.424793059785,5.31071031656138,0.609742994470884,1.60204888245363e-19,1.31485081164147e-16
"ENSG00000168497.5",4547.25014036249,5.53266190107212,0.638288726141761,2.55704744921235e-19,2.0209198340275e-16
"ENSG00000131831.18",1285.83046725709,2.57891255380723,0.296323521968122,3.42452376418417e-19,2.60985402156879e-16
"ENSG00000172987.13",261.208604466347,5.53437644536998,0.642379373561657,5.28230326852974e-19,3.88686446369504e-16
"ENSG00000137033.11",2047.62098239392,3.57044839831429,0.414818771081933,5.90793822825637e-19,4.20231646175876e-16
